ID Number,dt_x [hr],dt_o [hr],dt [hr],Beta_x,sigma_x_Up,sigma_x_Low,Beta_ox,sigma_ox_Up,sigma_ox_Low
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.29,0.08,0.08
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.35,0.08,0.08
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.34,0.08,0.08
ID-060121,3.06,2.8,0.26,-1.07,0.16,0.16,-0.33,0.08,0.08
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.2,0.12,0.1
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.18,0.12,0.1
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.29,0.11,0.09
ID-060121,6.11,5.6,0.51,-1.07,0.16,0.16,-0.25,0.07,0.07
ID-060121,6.11,6.5,0.39,-1.07,0.16,0.16,-0.24,0.04,0.05
ID-060313,1.39,1.5,0.11,-0.96,0.09,0.09,-0.19,0.13,0.15
ID-060313,1.58,1.5,0.08,-0.96,0.09,0.09,-0.3,0.13,0.15
ID-070707,11.39,11.0,0.39,0.0,0.0,0.0,-0.42,0.03,0.04
ID-070707,113.89,108.0,5.89,0.0,0.0,0.0,-0.12,0.04,0.03
ID-111020A,19.17,18.5,0.67,-1.04,0.16,0.16,-0.42,0.01,0.01
ID-130912A,0.27,0.27,0.0,-0.57,0.13,0.13,-0.1,0.07,0.07
ID-130912A,0.36,0.38,0.02,-0.57,0.13,0.13,-0.37,0.07,0.07
ID-130912A,0.39,0.38,0.01,-0.57,0.13,0.13,-0.36,0.07,0.07
ID-130912A,0.42,0.38,0.04,-0.57,0.13,0.13,-0.34,0.06,0.06
